meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1279,11234,2026-03-08T05:19:24+00:00,43.0,53,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:19:24
1279,11234,2026-03-08T05:19:30+00:00,43.0,53,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:19:30
1279,11234,2026-03-08T05:19:58+00:00,41.0,54,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 16:19:57
1279,11234,2026-03-08T05:20:18+00:00,5.0,54,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:20:18
1279,11234,2026-03-08T05:21:07+00:00,43.0,55,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:21:07
1279,11234,2026-03-08T05:21:17+00:00,43.0,55,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:21:16
1279,11234,2026-03-08T05:21:21+00:00,41.0,55,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 16:21:21
1279,11234,2026-03-08T05:21:50+00:00,43.0,55,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:21:49
1279,11234,2026-03-08T05:23:00+00:00,,56,Other,,,,,CAR 55 (SAI) TIME 1:27.961 DELETED - TRACK LIMITS AT TURN 3 LAP 53 16:21:48
1279,11234,2026-03-08T05:24:30+00:00,87.0,57,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:24:29
1279,11234,2026-03-08T05:24:48+00:00,30.0,57,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:24:47
1279,11234,2026-03-08T05:24:54+00:00,11.0,57,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:24:53
1279,11234,2026-03-08T05:25:22+00:00,23.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:25:22
1279,11234,2026-03-08T05:25:23+00:00,11.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:25:22
1279,11234,2026-03-08T05:25:51+00:00,30.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:25:50
1279,11234,2026-03-08T05:26:05+00:00,87.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:26:04
1279,11234,2026-03-08T05:26:07+00:00,23.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:26:06
1279,11234,2026-03-08T05:26:19+00:00,11.0,58,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:26:18
1279,11234,2026-03-08T05:26:33+00:00,,58,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1279,11234,2026-03-08T05:26:33.400000+00:00,,58,SessionStatus,,,,,SESSION FINISHED
1279,11234,2026-03-08T05:29:56+00:00,,58,Other,,,,,ALL PASS HOLDERS MAY ACCESS THE PIT LANE
1279,11234,2026-03-08T05:32:13+00:00,,58,Flag,DOUBLE YELLOW,Sector,19.0,,DOUBLE YELLOW IN TRACK SECTOR 19
1279,11234,2026-03-08T05:33:37+00:00,,58,Flag,CLEAR,Sector,19.0,,CLEAR IN TRACK SECTOR 19
