date,session_key,pressure,rainfall,track_temperature,wind_speed,meeting_key,wind_direction,air_temperature,humidity
2023-09-15T13:47:12.837000+00:00,9159,1010.7,0,36.1,1.7,1219,178,30.1,69.0
2023-09-15T13:48:12.852000+00:00,9159,1010.5,0,36.1,1.2,1219,192,30.1,69.0
2023-09-15T13:49:12.866000+00:00,9159,1010.5,0,36.2,1.8,1219,178,30.1,69.0
2023-09-15T13:50:12.881000+00:00,9159,1010.7,0,36.1,1.5,1219,178,30.2,69.0
2023-09-15T13:51:12.880000+00:00,9159,1010.5,0,36.4,1.8,1219,175,30.1,69.0
2023-09-15T13:52:12.910000+00:00,9159,1010.5,0,36.4,1.6,1219,186,30.2,69.0
2023-09-15T13:53:12.893000+00:00,9159,1010.7,0,36.1,2.2,1219,191,30.3,69.0
2023-09-15T13:54:12.892000+00:00,9159,1010.5,0,36.1,1.7,1219,181,30.3,69.0
2023-09-15T13:55:12.891000+00:00,9159,1010.7,0,36.2,1.1,1219,189,30.3,69.0
2023-09-15T13:56:12.906000+00:00,9159,1010.5,0,36.2,1.3,1219,168,30.3,69.0
2023-09-15T13:57:12.905000+00:00,9159,1010.5,0,36.2,1.6,1219,179,30.3,69.0
2023-09-15T13:58:12.904000+00:00,9159,1010.5,0,36.4,1.0,1219,185,30.2,69.0
2023-09-15T13:59:12.902000+00:00,9159,1010.5,0,36.4,1.5,1219,177,30.2,68.0
2023-09-15T14:00:12.901000+00:00,9159,1010.5,0,36.0,1.5,1219,158,30.2,68.0
2023-09-15T14:01:12.900000+00:00,9159,1010.5,0,36.0,1.7,1219,191,30.2,68.0
2023-09-15T14:02:12.899000+00:00,9159,1010.5,0,36.0,1.1,1219,177,30.3,69.0
2023-09-15T14:03:12.898000+00:00,9159,1010.7,0,36.0,1.6,1219,172,30.2,68.0
2023-09-15T14:04:12.897000+00:00,9159,1010.7,0,36.0,1.6,1219,175,30.2,69.0
2023-09-15T14:05:12.912000+00:00,9159,1010.7,0,35.9,1.8,1219,173,30.2,69.0
2023-09-15T14:06:12.911000+00:00,9159,1010.7,0,36.0,1.3,1219,179,30.1,69.0
2023-09-15T14:07:12.910000+00:00,9159,1010.7,0,35.8,1.5,1219,184,30.1,69.0
